iter	Passed	Remaining
932	7757	557
933	7763	548
934	7767	540
935	7771	531
936	7775	522
937	7781	514
938	7785	505
939	7788	497
940	7793	488
941	7798	480
942	7801	471
943	7805	463
944	7811	454
945	7815	446
946	7818	437
947	7822	429
948	7826	420
949	7830	412
950	7834	403
951	7837	395
952	7843	386
953	7847	378
954	7851	369
955	7854	361
956	7859	353
957	7863	344
958	7866	336
959	7870	327
960	7873	319
961	7878	311
962	7882	302
963	7885	294
964	7889	286
965	7893	277
966	7897	269
967	7900	261
968	7904	252
969	7909	244
970	7912	236
971	7916	228
972	7919	219
973	7923	211
974	7927	203
975	7930	195
976	7934	186
977	7938	178
978	7941	170
979	7944	162
980	7947	153
981	7951	145
982	7955	137
983	7959	129
984	7962	121
985	7965	113
986	7968	104
987	7973	96
988	7977	88
989	7980	80
990	7983	72
991	7988	64
992	7992	56
993	7994	48
994	7997	40
995	8000	32
996	8005	24
997	8008	16
998	8010	8
999	8013	0
1	80
990	7935	72
991	7938	64
992	7941	55
993	7945	47
994	7949	39
995	7952	31
996	7955	23
997	7958	15
998	7963	7
999	7966	0
